# Zhu 2T0C Fig 5(d) -- paper-anchored digitization
# Re-read of fig5d_big.png; both curves clearly visible.
# Vg (V), Id @ Vd=0.1V (A), Id @ Vd=1V (A)
-1.0,1.0e-14,1.0e-14
-0.7,3.0e-14,1.0e-13
-0.5,1.0e-13,1.0e-12
-0.3,5.0e-13,1.0e-11
-0.2,2.0e-12,1.0e-10
-0.1,1.0e-11,5.0e-10
0.0,5.0e-11,2.0e-09
0.1,2.0e-10,8.0e-09
0.2,1.0e-09,3.0e-08
0.3,3.0e-09,1.0e-07
0.4,1.0e-08,3.0e-07
0.5,3.0e-08,8.0e-07
0.6,1.0e-07,2.0e-06
0.7,3.0e-07,5.0e-06
0.8,1.0e-06,1.0e-05
0.9,2.0e-06,2.0e-05
1.0,4.0e-06,4.0e-05
1.1,7.0e-06,6.0e-05
1.2,1.0e-05,8.0e-05
1.3,1.5e-05,9.0e-05
1.4,2.0e-05,1.0e-04
1.5,2.5e-05,1.1e-04
1.6,3.0e-05,1.2e-04
1.8,3.5e-05,1.2e-04
2.0,4.0e-05,1.3e-04
