Vd_V,Vg_V,Id_A
0.000000e+00,4.000000e-01,-2.280190e-12
0.000000e+00,1.200000e+00,-2.280180e-12
0.000000e+00,2.000000e+00,-2.280180e-12
1.000000e-01,4.000000e-01,-5.854180e-08
1.000000e-01,1.200000e+00,-8.951840e-07
1.000000e-01,2.000000e+00,-4.068750e-06
2.000000e-01,4.000000e-01,-1.170810e-07
2.000000e-01,1.200000e+00,-1.790370e-06
2.000000e-01,2.000000e+00,-8.137490e-06
3.000000e-01,4.000000e-01,-1.756210e-07
3.000000e-01,1.200000e+00,-2.685550e-06
3.000000e-01,2.000000e+00,-1.220620e-05
4.000000e-01,4.000000e-01,-2.341600e-07
4.000000e-01,1.200000e+00,-3.580730e-06
4.000000e-01,2.000000e+00,-1.627500e-05
5.000000e-01,4.000000e-01,-2.610570e-07
5.000000e-01,1.200000e+00,-4.475910e-06
5.000000e-01,2.000000e+00,-2.034370e-05
6.000000e-01,4.000000e-01,-2.610570e-07
6.000000e-01,1.200000e+00,-5.371090e-06
6.000000e-01,2.000000e+00,-2.441250e-05
7.000000e-01,4.000000e-01,-2.610570e-07
7.000000e-01,1.200000e+00,-6.266270e-06
7.000000e-01,2.000000e+00,-2.848120e-05
8.000000e-01,4.000000e-01,-2.610570e-07
8.000000e-01,1.200000e+00,-7.161460e-06
8.000000e-01,2.000000e+00,-3.255000e-05
9.000000e-01,4.000000e-01,-2.610570e-07
9.000000e-01,1.200000e+00,-8.056640e-06
9.000000e-01,2.000000e+00,-3.661870e-05
1.000000e+00,4.000000e-01,-2.610570e-07
1.000000e+00,1.200000e+00,-8.701850e-06
1.000000e+00,2.000000e+00,-4.068750e-05
1.100000e+00,4.000000e-01,-2.610570e-07
1.100000e+00,1.200000e+00,-8.701850e-06
1.100000e+00,2.000000e+00,-4.475620e-05
1.200000e+00,4.000000e-01,-2.610570e-07
1.200000e+00,1.200000e+00,-8.701850e-06
1.200000e+00,2.000000e+00,-4.882490e-05
1.300000e+00,4.000000e-01,-2.610570e-07
1.300000e+00,1.200000e+00,-8.701850e-06
1.300000e+00,2.000000e+00,-5.289370e-05
1.400000e+00,4.000000e-01,-2.610570e-07
1.400000e+00,1.200000e+00,-8.701850e-06
1.400000e+00,2.000000e+00,-5.696240e-05
1.500000e+00,4.000000e-01,-2.610570e-07
1.500000e+00,1.200000e+00,-8.701850e-06
1.500000e+00,2.000000e+00,-6.095820e-05
1.600000e+00,4.000000e-01,-2.610570e-07
1.600000e+00,1.200000e+00,-8.701850e-06
1.600000e+00,2.000000e+00,-6.095820e-05
1.700000e+00,4.000000e-01,-2.610570e-07
1.700000e+00,1.200000e+00,-8.701850e-06
1.700000e+00,2.000000e+00,-6.095820e-05
1.800000e+00,4.000000e-01,-2.610570e-07
1.800000e+00,1.200000e+00,-8.701850e-06
1.800000e+00,2.000000e+00,-6.095820e-05
1.900000e+00,4.000000e-01,-2.610570e-07
1.900000e+00,1.200000e+00,-8.701850e-06
1.900000e+00,2.000000e+00,-6.095820e-05
2.000000e+00,4.000000e-01,-2.610570e-07
2.000000e+00,1.200000e+00,-8.701850e-06
2.000000e+00,2.000000e+00,-6.095820e-05
2.100000e+00,4.000000e-01,-2.610570e-07
2.100000e+00,1.200000e+00,-8.701850e-06
2.100000e+00,2.000000e+00,-6.095820e-05
2.200000e+00,4.000000e-01,-2.610570e-07
2.200000e+00,1.200000e+00,-8.701850e-06
2.200000e+00,2.000000e+00,-6.095820e-05
2.300000e+00,4.000000e-01,-2.610570e-07
2.300000e+00,1.200000e+00,-8.701850e-06
2.300000e+00,2.000000e+00,-6.095820e-05
2.400000e+00,4.000000e-01,-2.610570e-07
2.400000e+00,1.200000e+00,-8.701850e-06
2.400000e+00,2.000000e+00,-6.095820e-05
2.500000e+00,4.000000e-01,-2.610570e-07
2.500000e+00,1.200000e+00,-8.701850e-06
2.500000e+00,2.000000e+00,-6.095820e-05
2.600000e+00,4.000000e-01,-2.610570e-07
2.600000e+00,1.200000e+00,-8.701850e-06
2.600000e+00,2.000000e+00,-6.095820e-05
2.700000e+00,4.000000e-01,-2.610570e-07
2.700000e+00,1.200000e+00,-8.701850e-06
2.700000e+00,2.000000e+00,-6.095820e-05
2.800000e+00,4.000000e-01,-2.610570e-07
2.800000e+00,1.200000e+00,-8.701850e-06
2.800000e+00,2.000000e+00,-6.095820e-05
2.900000e+00,4.000000e-01,-2.610570e-07
2.900000e+00,1.200000e+00,-8.701850e-06
2.900000e+00,2.000000e+00,-6.095820e-05
3.000000e+00,4.000000e-01,-2.610570e-07
3.000000e+00,1.200000e+00,-8.701850e-06
3.000000e+00,2.000000e+00,-6.095820e-05
