Vg_V,Vd_V,Id_A
-1.000000e+00,1.000000e-01,-2.065720e-16
-1.000000e+00,1.000000e+00,-2.065720e-16
-9.500000e-01,1.000000e-01,-3.397590e-16
-9.500000e-01,1.000000e+00,-3.397590e-16
-9.000000e-01,1.000000e-01,-6.474120e-16
-9.000000e-01,1.000000e+00,-6.474120e-16
-8.500000e-01,1.000000e-01,-1.233640e-15
-8.500000e-01,1.000000e+00,-1.233640e-15
-8.000000e-01,1.000000e-01,-2.350710e-15
-8.000000e-01,1.000000e+00,-2.350710e-15
-7.500000e-01,1.000000e-01,-4.479280e-15
-7.500000e-01,1.000000e+00,-4.479280e-15
-7.000000e-01,1.000000e-01,-8.535280e-15
-7.000000e-01,1.000000e+00,-8.535280e-15
-6.500000e-01,1.000000e-01,-1.626400e-14
-6.500000e-01,1.000000e+00,-1.626400e-14
-6.000000e-01,1.000000e-01,-3.099110e-14
-6.000000e-01,1.000000e+00,-3.099110e-14
-5.500000e-01,1.000000e-01,-5.905350e-14
-5.500000e-01,1.000000e+00,-5.905350e-14
-5.000000e-01,1.000000e-01,-1.125270e-13
-5.000000e-01,1.000000e+00,-1.125270e-13
-4.500000e-01,1.000000e-01,-2.144200e-13
-4.500000e-01,1.000000e+00,-2.144200e-13
-4.000000e-01,1.000000e-01,-4.085770e-13
-4.000000e-01,1.000000e+00,-4.085770e-13
-3.500000e-01,1.000000e-01,-7.785440e-13
-3.500000e-01,1.000000e+00,-7.785440e-13
-3.000000e-01,1.000000e-01,-1.483520e-12
-3.000000e-01,1.000000e+00,-1.483520e-12
-2.500000e-01,1.000000e-01,-2.826840e-12
-2.500000e-01,1.000000e+00,-2.826840e-12
-2.000000e-01,1.000000e-01,-1.785250e-11
-2.000000e-01,1.000000e+00,-1.785250e-11
-1.500000e-01,1.000000e-01,-1.466940e-10
-1.500000e-01,1.000000e+00,-1.466940e-10
-1.000000e-01,1.000000e-01,-5.456640e-10
-1.000000e-01,1.000000e+00,-6.386640e-10
-5.000000e-02,1.000000e-01,-1.294280e-09
