Vg,Vd,Id_model,Id_paper_idvg_Vd1,Id_paper_idvd,rel_diff_idvg,rel_diff_idvd
0.4,1.0,1.5120632362360725e-06,2.3e-06,2.3,0.34258120163649025,0.9999993425812016
1.2,1.0,2.2795269739652497e-05,8e-06,8.0,1.8494087174565623,0.9999971505912826
2.0,1.0,5.463743056781689e-05,5e-05,22.0,0.09274861135633782,0.9999975164804287
0.4,0.1,1.4664577800479264e-07,2.3e-06,0.5,0.9362409660848727,0.999999706708444
1.2,0.1,1.5776150710464412e-06,8e-06,1.5,0.8027981161191948,0.9999989482566193
2.0,0.1,4.341514669387013e-06,5e-05,3.5,0.9131697066122597,0.9999987595672373
1.0,1.0,1.5373944367917674e-05,9e-06,8.0,0.7082160408797414,0.999998078256954
1.5,1.0,3.45444408292095e-05,1.8e-05,8.0,0.91913560162275,0.9999956819448963
0.0,1.0,2.358697941388901e-08,2e-09,2.3,0.02158697941388901,0.9999999897447915
-0.5,0.1,1.6789939359918944e-15,,,9.832100606400812e-08,
0.0,0.1,7.786772235968105e-11,,,2.7867722359681046e-05,
0.4,0.1,1.4664577800479264e-07,,,0.13664577800479263,
1.2,0.1,1.5776150710464412e-06,,,0.7370641548255932,
2.0,0.1,4.341514669387013e-06,,,0.8759567237317996,
