Vd_V,Id_Vg04_A_spice,Id_Vg12_A_spice,Id_Vg20_A_spice
0.0,0.0,0.0,0.0
0.05,-1.12277e-07,-7.67592e-07,-2.14086e-06
0.1,-1.46678e-07,-1.57762e-06,-4.34151e-06
0.15,-1.68153e-07,-2.43079e-06,-6.60237e-06
0.2,-1.88535e-07,-3.3277e-06,-8.92384e-06
0.25,-2.1072e-07,-4.26889e-06,-1.13063e-05
0.3,-2.3567e-07,-5.25494e-06,-1.37503e-05
0.35,-2.64717e-07,-6.2864e-06,-1.6256e-05
0.4,-2.99023e-07,-7.3638e-06,-1.8824e-05
0.45,-3.39724e-07,-8.4877e-06,-2.14547e-05
0.5,-3.87921e-07,-9.65863e-06,-2.41483e-05
0.55,-4.44683e-07,-1.08771e-05,-2.69054e-05
0.6,-5.11056e-07,-1.21437e-05,-2.97263e-05
0.65,-5.87505e-07,-1.34588e-05,-3.25793e-05
0.7,-6.76171e-07,-1.48231e-05,-3.55288e-05
0.75,-7.77533e-07,-1.60383e-05,-3.85433e-05
0.8,-8.92626e-07,-1.72678e-05,-4.16232e-05
0.85,-1.0225e-06,-1.85566e-05,-4.47688e-05
0.9,-1.1682e-06,-1.99064e-05,-4.79805e-05
0.95,-1.33081e-06,-2.13187e-05,-5.12588e-05
1.0,-1.51142e-06,-2.27953e-05,-5.46039e-05
1.05,-1.71114e-06,-2.43376e-05,-5.80163e-05
1.1,-1.93109e-06,-2.59474e-05,-6.14963e-05
1.15,-2.17241e-06,-2.76263e-05,-6.50444e-05
1.2,-2.43625e-06,-2.9376e-05,-6.86608e-05
1.25,-2.72381e-06,-3.11981e-05,-7.23459e-05
1.3,-3.03626e-06,-3.30945e-05,-7.61001e-05
1.35,-3.37481e-06,-3.50667e-05,-7.99238e-05
1.4,-3.7407e-06,-3.71165e-05,-8.38173e-05
1.45,-4.13516e-06,-3.92456e-05,-8.84717e-05
1.5,-4.55945e-06,-4.14151e-05,-9.35098e-05
1.55,-5.01485e-06,-4.3707e-05,-9.87644e-05
1.6,-5.44543e-06,-4.60839e-05,-0.000104167
1.65,-5.91822e-06,-4.85471e-05,-0.00010972
1.7,-6.44189e-06,-5.10985e-05,-0.000115425
1.75,-7.01098e-06,-5.37399e-05,-0.000121285
1.8,-7.62436e-06,-5.64732e-05,-0.000127302
1.85,-8.28159e-06,-5.93001e-05,-0.000133477
1.9,-8.98274e-06,-6.22226e-05,-0.000139813
1.95,-9.72827e-06,-6.52423e-05,-0.000146313
2.0,-1.05189e-05,-6.83614e-05,-0.000152979
2.05,-1.13556e-05,-7.15815e-05,-0.000159812
2.1,-1.22394e-05,-7.49046e-05,-0.000166815
2.15,-1.31715e-05,-7.83327e-05,-0.000173991
2.2,-1.41533e-05,-8.18675e-05,-0.000181341
2.25,-1.5186e-05,-8.55111e-05,-0.000188869
2.3,-1.6271e-05,-8.92654e-05,-0.000196575
2.35,-1.74099e-05,-9.31323e-05,-0.000204463
2.4,-1.86041e-05,-9.71138e-05,-0.000212536
2.45,-1.98552e-05,-0.000101212,-0.000220794
2.5,-2.11645e-05,-0.000105428,-0.000229241
2.55,-2.25338e-05,-0.000109766,-0.000237878
2.6,-2.39645e-05,-0.000114225,-0.000246709
2.65,-2.54583e-05,-0.000118809,-0.000255736
2.7,-2.70167e-05,-0.00012352,-0.00026496
2.75,-2.86415e-05,-0.00012836,-0.000274385
2.8,-3.03342e-05,-0.00013333,-0.000284013
2.85,-3.20965e-05,-0.000138432,-0.000293846
2.9,-3.393e-05,-0.00014367,-0.000303886
2.95,-3.58365e-05,-0.000149044,-0.000314136
3.0,-3.778e-05,-0.000154557,-0.000324599
