Vd_V,Id_Vg04_A_spice,Id_Vg12_A_spice,Id_Vg20_A_spice
0.0,0.0,0.0,0.0
0.05,-1.00753e-07,-5.83873e-06,-3.01472e-05
0.1,-1.20057e-07,-6.38513e-06,-3.79393e-05
0.15,-1.27058e-07,-6.57211e-06,-4.03609e-05
0.2,-1.32183e-07,-6.69715e-06,-4.14898e-05
0.25,-1.37074e-07,-6.81e-06,-4.21875e-05
0.3,-1.41768e-07,-6.90632e-06,-4.27049e-05
0.35,-1.46435e-07,-7.00184e-06,-4.3169e-05
0.4,-1.51049e-07,-7.09691e-06,-4.35367e-05
0.45,-1.55605e-07,-7.19189e-06,-4.38842e-05
0.5,-1.601e-07,-7.28705e-06,-4.42185e-05
0.55,-1.64534e-07,-7.38255e-06,-4.45439e-05
0.6,-1.68909e-07,-7.47853e-06,-4.48634e-05
0.65,-1.73226e-07,-7.57507e-06,-4.51789e-05
0.7,-1.77492e-07,-7.67221e-06,-4.54917e-05
0.75,-1.8171e-07,-7.77e-06,-4.58028e-05
0.8,-1.85888e-07,-7.86848e-06,-4.61129e-05
0.85,-1.90032e-07,-7.96765e-06,-4.64225e-05
0.9,-1.94152e-07,-8.06755e-06,-4.67318e-05
0.95,-1.98256e-07,-8.16817e-06,-4.70413e-05
1.0,-2.02354e-07,-8.26955e-06,-4.73511e-05
1.05,-2.06456e-07,-8.37167e-06,-4.76614e-05
1.1,-2.10573e-07,-8.47456e-06,-4.79723e-05
1.15,-2.14714e-07,-8.57822e-06,-4.8284e-05
1.2,-2.18891e-07,-8.68265e-06,-4.85964e-05
1.25,-2.23115e-07,-8.78786e-06,-4.89097e-05
1.3,-2.27397e-07,-8.89385e-06,-4.92239e-05
1.35,-2.31747e-07,-9.00063e-06,-4.95391e-05
1.4,-2.36176e-07,-9.1082e-06,-4.98553e-05
1.45,-2.40695e-07,-9.21657e-06,-5.01726e-05
1.5,-2.45313e-07,-9.32574e-06,-5.04909e-05
1.55,-2.50041e-07,-9.43571e-06,-5.08103e-05
1.6,-2.54889e-07,-9.54649e-06,-5.11309e-05
1.65,-2.59865e-07,-9.65808e-06,-5.14526e-05
1.7,-2.6498e-07,-9.77048e-06,-5.17754e-05
1.75,-2.70242e-07,-9.88369e-06,-5.20994e-05
1.8,-2.7566e-07,-9.99772e-06,-5.24246e-05
1.85,-2.81242e-07,-1.01126e-05,-5.2751e-05
1.9,-2.86997e-07,-1.02282e-05,-5.30785e-05
1.95,-2.92932e-07,-1.03448e-05,-5.34073e-05
2.0,-2.99054e-07,-1.04621e-05,-5.37373e-05
2.05,-3.05372e-07,-1.05802e-05,-5.40685e-05
2.1,-3.11892e-07,-1.06992e-05,-5.4401e-05
2.15,-3.18621e-07,-1.08191e-05,-5.47346e-05
2.2,-3.25566e-07,-1.09397e-05,-5.50696e-05
2.25,-3.32733e-07,-1.10613e-05,-5.54057e-05
2.3,-3.40128e-07,-1.11836e-05,-5.57431e-05
2.35,-3.47758e-07,-1.13068e-05,-5.60818e-05
2.4,-3.55629e-07,-1.14309e-05,-5.64218e-05
2.45,-3.63745e-07,-1.15558e-05,-5.6763e-05
2.5,-3.72113e-07,-1.16816e-05,-5.71054e-05
2.55,-3.80739e-07,-1.18082e-05,-5.74492e-05
2.6,-3.89626e-07,-1.19357e-05,-5.77942e-05
2.65,-3.98782e-07,-1.2064e-05,-5.81405e-05
2.7,-4.0821e-07,-1.21932e-05,-5.84881e-05
2.75,-4.17916e-07,-1.23233e-05,-5.8837e-05
2.8,-4.27904e-07,-1.24542e-05,-5.91871e-05
2.85,-4.38179e-07,-1.2586e-05,-5.95386e-05
2.9,-4.48747e-07,-1.27187e-05,-5.98913e-05
2.95,-4.59611e-07,-1.28523e-05,-6.02454e-05
3.0,-4.70776e-07,-1.29867e-05,-6.06007e-05
