Vg_V,Id_Vd01_A_spice,Id_Vd1_A_spice
-1.0,-3.61022e-20,-1.2212e-17
-0.95,-7.48968e-20,-2.53347e-17
-0.9,-2.19354e-19,-7.4199e-17
-0.85,-6.42433e-19,-2.1731e-16
-0.8,-1.88153e-18,-6.36448e-16
-0.75,-5.51052e-18,-1.864e-15
-0.7,-1.61389e-17,-5.45918e-15
-0.65,-4.72669e-17,-1.59886e-14
-0.6,-1.38433e-16,-4.68265e-14
-0.55,-4.05435e-16,-1.37143e-13
-0.5,-1.67632e-15,-5.67033e-13
-0.45,-4.90952e-15,-1.66069e-12
-0.4,-1.43787e-14,-4.86368e-12
-0.35,-4.21117e-14,-1.4244e-11
-0.3,-1.23335e-13,-4.17124e-11
-0.25,-3.61216e-13,-1.22125e-10
-0.2,-1.05791e-12,-3.57333e-10
-0.15,-3.09832e-12,-1.04362e-09
-0.1,-9.07398e-12,-3.03178e-09
-0.05,-2.65735e-11,-8.64563e-09
3.191891e-16,-7.78106e-11,-2.35798e-08
0.05,-2.27746e-10,-5.74833e-08
0.1,-6.65802e-10,-1.12919e-07
0.15,-1.93966e-09,-1.80313e-07
0.2,-5.58217e-09,-2.8208e-07
0.25,-1.55897e-08,-4.49114e-07
0.3,-4.01928e-08,-7.02192e-07
0.35,-8.7158e-08,-1.0538e-06
0.4,-1.46627e-07,-1.51203e-06
0.45,-2.10923e-07,-2.08211e-06
0.5,-2.9298e-07,-2.7671e-06
0.55,-3.72654e-07,-3.56825e-06
0.6,-4.48042e-07,-4.36662e-06
0.65,-5.2893e-07,-5.32753e-06
0.7,-6.16093e-07,-6.44665e-06
0.75,-7.0961e-07,-7.68971e-06
0.8,-8.09292e-07,-9.04169e-06
0.85,-8.54973e-07,-1.04936e-05
0.9,-8.59997e-07,-1.20379e-05
0.95,-9.40306e-07,-1.36673e-05
1.0,-1.04962e-06,-1.53739e-05
1.05,-1.17202e-06,-1.71494e-05
1.1,-1.30195e-06,-1.89846e-05
1.15,-1.4374e-06,-2.087e-05
1.2,-1.57761e-06,-2.27953e-05
1.25,-1.72223e-06,-2.47497e-05
1.3,-1.87106e-06,-2.6722e-05
1.35,-2.02193e-06,-2.87002e-05
1.4,-2.17884e-06,-3.0672e-05
1.45,-2.33959e-06,-3.26246e-05
1.5,-2.50411e-06,-3.45444e-05
1.55,-2.67231e-06,-3.64434e-05
1.6,-2.8441e-06,-3.8312e-05
1.65,-3.01942e-06,-4.02426e-05
1.7,-3.19819e-06,-4.22065e-05
1.75,-3.38035e-06,-4.42013e-05
1.8,-3.56584e-06,-4.62265e-05
1.85,-3.75461e-06,-4.82817e-05
1.9,-3.94658e-06,-5.03665e-05
1.95,-4.14172e-06,-5.24804e-05
2.0,-4.33997e-06,-5.46231e-05
