Vg_V,Id_Vd01_A_spice,Id_Vd1_A_spice
-1.0,-2.25006e-20,-1.0799e-19
-0.95,-4.66792e-20,-2.24034e-19
-0.9,-1.36712e-19,-6.5614e-19
-0.85,-4.00394e-19,-1.92167e-18
-0.8,-1.17265e-18,-5.62809e-18
-0.75,-3.43441e-18,-1.64833e-17
-0.7,-1.00585e-17,-4.82754e-17
-0.65,-2.94589e-17,-1.41386e-16
-0.6,-8.62778e-17,-4.14085e-16
-0.55,-2.52686e-16,-1.21275e-15
-0.5,-1.04476e-15,-5.01427e-15
-0.45,-3.05984e-15,-1.46855e-14
-0.4,-8.9615e-15,-4.30102e-14
-0.35,-2.6246e-14,-1.25966e-13
-0.3,-7.68679e-14,-3.68923e-13
-0.25,-2.25127e-13,-1.08048e-12
-0.2,-6.59339e-13,-3.16443e-12
-0.15,-1.93103e-12,-9.26759e-12
-0.1,-5.65541e-12,-2.71405e-11
-0.05,-1.65625e-11,-7.94708e-11
3.191891e-16,-4.85011e-11,-2.32606e-10
0.05,-1.41993e-10,-6.80007e-10
0.1,-4.1539e-10,-1.98104e-09
0.15,-1.21255e-09,-5.70127e-09
0.2,-3.51248e-09,-1.59223e-08
0.25,-9.98135e-09,-4.10503e-08
0.3,-2.68916e-08,-8.90176e-08
0.35,-6.37947e-08,-1.48702e-07
0.4,-1.20055e-07,-2.02341e-07
0.45,-1.75901e-07,-2.57424e-07
0.5,-2.27469e-07,-3.32851e-07
0.55,-2.91415e-07,-4.43577e-07
0.6,-3.8478e-07,-6.00091e-07
0.65,-5.19437e-07,-8.10646e-07
0.7,-7.04117e-07,-1.08244e-06
0.75,-9.46029e-07,-1.4221e-06
0.8,-1.25155e-06,-1.77471e-06
0.85,-1.62651e-06,-2.16016e-06
0.9,-1.9435e-06,-2.70291e-06
0.95,-2.41498e-06,-3.36153e-06
1.0,-3.00932e-06,-4.12541e-06
1.05,-3.70569e-06,-4.99438e-06
1.1,-4.49958e-06,-5.97177e-06
1.15,-5.39187e-06,-7.06203e-06
1.2,-6.38513e-06,-8.26992e-06
1.25,-7.48231e-06,-9.60027e-06
1.3,-8.68635e-06,-1.10579e-05
1.35,-1e-05,-1.26474e-05
1.4,-1.14259e-05,-1.43736e-05
1.45,-1.29663e-05,-1.62409e-05
1.5,-1.46234e-05,-1.8254e-05
1.55,-1.63991e-05,-2.04172e-05
1.6,-1.8295e-05,-2.2735e-05
1.65,-2.03128e-05,-2.52117e-05
1.7,-2.24538e-05,-2.78516e-05
1.75,-2.47191e-05,-3.06588e-05
1.8,-2.71097e-05,-3.36377e-05
1.85,-2.96264e-05,-3.67924e-05
1.9,-3.22699e-05,-4.01268e-05
1.95,-3.50408e-05,-4.36451e-05
2.0,-3.79393e-05,-4.73513e-05
