bias,Vg,Vd,spice_Id,python_Id,rel_diff
Id-Vg,-1.0,0.1,3.61022e-20,3.6189938758265144e-20,0.002424396428278124
Id-Vg,-0.75,0.1,5.51052e-18,7.79504253843961e-18,0.29307377441161714
Id-Vg,-0.5,0.1,1.67632e-15,1.6789939359918944e-15,0.0015925822807184146
Id-Vg,-0.25,0.1,3.61216e-13,3.6164216629531013e-13,0.0011784198166817715
Id-Vg,3.191891e-16,0.1,7.78106e-11,7.78677223596816e-11,0.0007335820022800882
Id-Vg,0.25,0.1,1.55897e-08,1.5594904642756438e-08,0.00033373995389291084
Id-Vg,0.5,0.1,2.9298e-07,2.930074505930337e-07,9.368564853263423e-05
Id-Vg,0.75,0.1,7.0961e-07,7.096428714706203e-07,4.6321145384286186e-05
Id-Vg,1.0,0.1,1.04962e-06,1.0496314195813632e-06,1.0879610833066669e-05
Id-Vg,1.25,0.1,1.72223e-06,1.7222309682853261e-06,5.622273341770277e-07
Id-Vg,1.5,0.1,2.50411e-06,2.505979739094637e-06,0.0007461110181650276
Id-Vg,1.75,0.1,3.38035e-06,3.382038100563426e-06,0.0004991370626914902
Id-Vg,2.0,0.1,4.33997e-06,4.341514669387013e-06,0.0003557904336715934
Id-Vg,-1.0,1.0,1.2212e-17,1.2236250127550578e-17,0.0019818267277797565
Id-Vg,-0.75,1.0,1.864e-15,2.6355968654134813e-15,0.29275982057006683
Id-Vg,-0.5,1.0,5.67033e-13,5.676864617790667e-13,0.0011510962882906582
Id-Vg,-0.25,1.0,1.22125e-10,1.2220957365400535e-10,0.0006920378778571707
Id-Vg,3.191891e-16,1.0,2.35798e-08,2.358697941388915e-08,0.0003043803856005672
Id-Vg,0.25,1.0,4.49114e-07,4.4914357911138157e-07,6.585669428941604e-05
Id-Vg,0.5,1.0,2.7671e-06,2.7671313624394917e-06,1.1333917831756747e-05
Id-Vg,0.75,1.0,7.68971e-06,7.689721703943512e-06,1.5220243284385961e-06
Id-Vg,1.0,1.0,1.53739e-05,1.5373944367917674e-05,2.8859163668999014e-06
Id-Vg,1.25,1.0,2.47497e-05,2.47497270639281e-05,1.093504103214037e-06
Id-Vg,1.5,1.0,3.45444e-05,3.45444408292095e-05,1.1819328528627854e-06
Id-Vg,1.75,1.0,4.42013e-05,4.421664456294889e-05,0.0003470313747359578
Id-Vg,2.0,1.0,5.46231e-05,5.463743056781689e-05,0.00026228480490318
Id-Vd,2.0,0.0,0.0,0.0,0.0
Id-Vd,2.0,0.25,1.13063e-05,1.1306341318546307e-05,3.6544577191381832e-06
Id-Vd,2.0,0.5,2.41483e-05,2.41483211840961e-05,8.772492273226656e-07
Id-Vd,2.0,0.75,3.85433e-05,3.857584364457337e-05,0.0008436275528597419
Id-Vd,2.0,1.0,5.46039e-05,5.463743056781689e-05,0.0006136922521507237
Id-Vd,2.0,1.25,7.23459e-05,7.238032504906959e-05,0.0004756133527482628
Id-Vd,2.0,1.5,9.35098e-05,9.358196639939474e-05,0.000771157116818181
Id-Vd,2.0,1.75,0.000121285,0.00012136309099090053,0.0006434492584437167
Id-Vd,2.0,2.0,0.000152979,0.00015306202828155015,0.0005424485908250384
Id-Vd,2.0,2.25,0.000188869,0.0001889578530190978,0.0004702266546647168
Id-Vd,2.0,2.5,0.000229241,0.00022933559993540417,0.0004124956414564759
Id-Vd,2.0,2.75,0.000274385,0.0002744861459429682,0.0003684919784230125
Id-Vd,2.0,3.0,0.000324599,0.0003247060988961518,0.00032983333702657003
