bias,Vg,Vd,spice_Id,python_Id,rel_diff
Id-Vg,-1.0,0.1,2.25006e-20,2.2556076130913037e-20,0.0024594761336616425
Id-Vg,-0.75,0.1,3.43441e-18,4.858410347625082e-18,0.2931000565485726
Id-Vg,-0.5,0.1,1.04476e-15,1.0464653008908715e-15,0.0016295818785579978
Id-Vg,-0.25,0.1,2.25127e-13,2.2540058204804692e-13,0.0012137592794174523
Id-Vg,3.191891e-16,0.1,4.85011e-11,4.853899576551117e-11,0.0007807282559829334
Id-Vg,0.25,0.1,9.98135e-09,9.98508584298067e-09,0.00037414229976762755
Id-Vg,0.5,0.1,2.27469e-07,2.274949185277886e-07,0.0001139301394348112
Id-Vg,0.75,0.1,9.46029e-07,9.460612519133345e-07,3.409072432606662e-05
Id-Vg,1.0,0.1,3.00932e-06,3.0093319242694233e-06,3.962430773183401e-06
Id-Vg,1.25,0.1,7.48231e-06,7.4823126641831765e-06,3.5606413362761603e-07
Id-Vg,1.5,0.1,1.46234e-05,1.4623386989537777e-05,8.897023810006924e-07
Id-Vg,1.75,0.1,2.47191e-05,2.471910241615349e-05,9.77443861897356e-08
Id-Vg,2.0,0.1,3.79393e-05,3.7939342076338654e-05,1.1090423911821134e-06
Id-Vg,-1.0,1.0,1.0799e-19,1.0824438609032476e-19,0.0023501088556452526
Id-Vg,-0.75,1.0,1.64833e-17,2.3315032382351617e-17,0.2930183527226374
Id-Vg,-0.5,1.0,5.01427e-15,5.021883745200985e-15,0.0015161133923620807
Id-Vg,-0.25,1.0,1.08048e-12,1.0816710988769198e-12,0.0011011654819624937
Id-Vg,3.191891e-16,1.0,2.32606e-10,2.3274491848866361e-10,0.0005968701253100705
Id-Vg,0.25,1.0,4.10503e-08,4.106058669764973e-08,0.0002505248579488129
Id-Vg,0.5,1.0,3.32851e-07,3.3288283816070515e-07,9.564374324934825e-05
Id-Vg,0.75,1.0,1.4221e-06,1.4221349427457924e-06,2.4570625994919757e-05
Id-Vg,1.0,1.0,4.12541e-06,4.125412510248065e-06,6.084841354346145e-07
Id-Vg,1.25,1.0,9.60027e-06,9.600268057465928e-06,2.023416492191926e-07
Id-Vg,1.5,1.0,1.8254e-05,1.8253971306400124e-05,1.571909991136822e-06
Id-Vg,1.75,1.0,3.06588e-05,3.0658854264031404e-05,1.7699301786835905e-06
Id-Vg,2.0,1.0,4.73513e-05,4.735131712253425e-05,3.616062928399292e-07
Id-Vd,2.0,0.0,0.0,0.0,0.0
Id-Vd,2.0,0.25,4.21875e-05,4.218746273498981e-05,8.833195403067009e-07
Id-Vd,2.0,0.5,4.42185e-05,4.421135799640904e-05,0.00016154228041436375
Id-Vd,2.0,0.75,4.58028e-05,4.580199986625173e-05,1.7469406371102426e-05
Id-Vd,2.0,1.0,4.73511e-05,4.735131712253425e-05,4.585353638302038e-06
Id-Vd,2.0,1.25,4.89097e-05,4.891012905384745e-05,8.77229023414769e-06
Id-Vd,2.0,1.5,5.04909e-05,5.0491455211375425e-05,1.09961452507005e-05
Id-Vd,2.0,1.75,5.20994e-05,5.2100002396663176e-05,1.1562315460018432e-05
Id-Vd,2.0,2.0,5.37373e-05,5.373791415572751e-05,1.1428722851716766e-05
Id-Vd,2.0,2.25,5.54057e-05,5.540636009050309e-05,1.1913623309895517e-05
Id-Vd,2.0,2.5,5.71054e-05,5.710608237375667e-05,1.1949230770356885e-05
Id-Vd,2.0,2.75,5.8837e-05,5.883761451194807e-05,1.0444202287354285e-05
Id-Vd,2.0,3.0,6.06007e-05,6.060137936365096e-05,1.1210366135131647e-05
